city,country,latitude,longitude,temperature,humidity,cloudiness,windspeed
akyab,MM,20.15,92.9,79.25,85,6,8.88
gamba,GA,-2.65,10.0,82.96,68,100,7.78
rabo de peixe,PT,37.8,-25.58,62.6,82,75,12.75
sola,VU,-13.88,167.55,77.0,94,75,11.32
katobu,ID,-4.94,122.53,76.75,89,100,3.67
buchen,DE,49.52,9.32,70.7,22,40,12.75
placido de castro,BR,-10.34,-67.19,84.81,72,69,0.63
impfondo,CG,1.64,18.07,79.54,66,99,5.06
palmares do sul,BR,-30.26,-50.51,74.82,48,0,6.13
kumluca,TR,36.37,30.29,68.2,43,1,6.38
ruteng,ID,-8.61,120.47,64.09,76,90,1.16
ponta do sol,PT,32.67,-17.1,62.11,63,40,12.75
gloversville,US,43.05,-74.34,51.42,45,1,5.82
praia,CV,14.92,-23.51,86.0,42,27,23.04
anzio,IT,41.49,12.62,67.98,88,5,6.93
smolensk,RU,55.0,33.0,46.94,51,99,6.49
general pico,AR,-35.66,-63.76,61.56,61,100,5.79
byron bay,AU,-28.65,153.62,53.02,100,2,4.59
koutsouras,GR,35.03,25.95,65.79,60,6,5.08
payo,ID,-3.75,103.64,76.28,88,100,0.09
provideniya,RU,64.38,-173.3,24.03,96,100,3.11
channel-port aux basques,CA,47.57,-59.14,32.14,96,92,16.31
kieta,PG,-6.22,155.63,80.04,80,92,4.18
cherskiy,RU,68.75,161.3,13.75,94,93,11.36
nikolskoye,RU,59.7,30.79,38.39,93,90,13.42
puerto maldonado,PE,-12.6,-69.18,88.11,42,25,1.61
anadyr,RU,64.75,177.48,6.35,84,90,15.66
isla mujeres,MX,21.23,-86.73,86.0,66,40,23.04
santa quiteria,BR,-4.33,-40.16,83.84,76,80,4.83
mosquera,CO,4.71,-74.23,64.4,55,75,11.41
canaries,ES,28.0,-15.5,71.74,46,20,24.16
kirakira,SB,-10.45,161.92,80.85,79,100,4.34
katsuura,JP,35.13,140.3,51.85,87,75,11.41
lukang,TW,24.06,120.44,61.03,41,20,11.41
mayo,US,38.89,-76.51,58.73,62,90,8.05
lebu,CL,-37.62,-73.65,55.85,50,17,13.35
porbandar,IN,21.64,69.61,87.8,45,7,9.17
saint-joseph,RE,-21.37,55.62,70.23,83,100,5.82
tabou,CI,4.42,-7.35,85.05,70,73,6.96
krasnoye,UA,49.91,24.61,64.4,25,6,4.47
port lincoln,AU,-34.73,135.87,57.96,66,19,6.15
quthing,LS,-30.4,27.7,66.74,18,39,15.26
swan river,CA,52.11,-101.27,17.01,90,76,8.34
konstantinovka,RU,49.62,127.98,48.67,47,0,2.01
san cristobal,VE,7.77,-72.22,87.8,62,40,8.05
pa daet,TH,19.5,99.99,76.5,83,20,5.82
kailua,US,21.4,-157.74,69.24,69,90,6.93
ulladulla,AU,-35.35,150.47,46.0,87,65,5.82
salas,ES,43.41,-6.26,58.68,93,75,8.05
marsa matruh,EG,31.35,27.25,64.4,54,0,11.54
avera,US,33.19,-82.53,70.16,83,90,9.17
pathein,MM,16.78,94.73,76.48,86,1,8.57
kidal,ML,18.44,1.41,104.99,7,46,8.68
alma,CA,48.55,-71.65,36.46,74,90,18.34
ostrovnoy,RU,68.05,39.51,28.71,93,100,15.7
champerico,GT,14.3,-91.92,84.2,74,75,6.93
andapa,MG,-14.65,49.65,70.79,80,27,1.99
dickson,US,36.08,-87.39,52.81,100,90,13.87
bubaque,GW,11.28,-15.83,79.07,72,0,10.07
nilanga,IN,18.1,76.77,89.58,14,56,2.08
novyy urgal,RU,51.07,132.56,38.17,66,93,0.27
coihaique,CL,-45.58,-72.07,48.69,71,75,8.05
sovetskiy,RU,61.36,63.58,39.85,87,100,4.97
guaruja,BR,-23.99,-46.26,72.14,56,75,8.05
san benito abad,CO,8.93,-75.03,87.67,70,96,5.79
kuala pilah,MY,2.74,102.25,84.09,79,20,3.36
mizdah,LY,31.45,12.98,75.52,19,12,9.57
haines junction,CA,60.75,-137.51,20.35,75,74,3.13
hualmay,PE,-11.1,-77.61,77.18,66,41,8.21
cayenne,GF,4.93,-52.33,84.2,66,75,17.22
saint-philippe,RE,-21.36,55.77,70.25,83,100,5.82
itarema,BR,-2.92,-39.92,87.06,65,96,10.51
ust-koksa,RU,50.27,85.61,37.31,48,8,5.06
orlik,RU,52.52,99.83,30.74,53,98,2.66
hazorasp,UZ,41.32,61.07,60.8,59,83,4.7
sioux lookout,CA,50.1,-91.92,24.48,68,75,11.41
hofn,IS,64.25,-15.21,33.44,85,24,8.7
makakilo city,US,21.35,-158.09,68.97,93,75,6.93
kiama,AU,-34.68,150.87,52.38,87,16,5.82
kaeo,NZ,-35.1,173.78,62.49,94,89,4.0
valparaiso,CL,-33.04,-71.63,55.71,87,90,3.36
lobva,RU,59.19,60.52,43.77,74,100,4.7
merauke,ID,-8.47,140.33,78.57,88,76,8.81
krasnoselkup,RU,65.7,82.47,30.2,99,100,2.82
lazaro cardenas,MX,17.96,-102.2,81.52,63,73,1.92
narsaq,GL,60.92,-46.05,44.6,48,100,24.16
pucallpa,PE,-8.38,-74.55,91.09,50,58,1.19
otane,NZ,-39.88,176.63,60.44,82,100,11.34
camacha,PT,33.08,-16.33,64.92,72,40,18.34
crixas,BR,-14.55,-49.97,85.24,60,50,2.59
salta,AR,-24.79,-65.41,68.34,59,20,4.7
iskateley,RU,67.68,53.15,20.1,97,8,6.96
mokobeng,BW,-23.0,27.67,89.06,17,0,8.41
rocha,UY,-34.48,-54.33,71.67,50,69,6.38
waw,SS,7.7,28.0,85.68,48,96,4.18
fare,PF,-16.7,-151.02,83.07,71,100,10.8
panguna,PG,-6.32,155.48,70.99,82,92,3.29
cordoba,AR,-31.41,-64.18,70.25,46,75,11.41
nogliki,RU,51.83,143.17,25.47,97,90,5.88
huron,US,41.15,-82.55,55.67,54,90,10.29
padina,RS,45.12,20.73,71.6,18,3,1.12
orzhytsya,UA,49.79,32.7,48.18,42,0,6.04
nouadhibou,MR,20.93,-17.03,82.4,45,22,14.99
wattegama,LK,6.8,81.48,78.06,84,2,3.44
stadtlohn,DE,51.98,6.93,72.79,25,1,10.29
beaumont,US,30.09,-94.1,77.59,88,90,13.87
caravelas,BR,-17.71,-39.25,80.24,81,16,13.51
manhattan,US,40.78,-73.97,57.63,26,1,4.7
rajmahal,IN,25.05,87.83,86.99,20,0,7.07
bontang,ID,0.13,117.5,81.32,84,2,11.1
lata,PT,40.16,-8.33,63.81,68,40,13.87
rwamagana,RW,-1.95,30.43,71.04,59,100,1.59
zaria,NG,11.11,7.72,97.79,7,73,13.42
tamworth,GB,52.63,-1.7,67.06,49,20,3.36
nampula,MZ,-15.12,39.27,76.1,73,68,5.46
lasem,ID,-6.69,111.45,80.87,78,100,2.42
barroso,BR,-21.19,-43.98,68.04,65,93,6.62
galveston,US,29.37,-94.97,78.69,83,90,11.41
mandalgovi,MN,45.76,106.27,45.07,25,29,9.37
leningradskiy,RU,69.38,178.42,11.59,86,97,2.89
joshimath,IN,30.57,79.57,54.48,18,69,5.66
charters towers,AU,-20.1,146.27,70.79,33,0,3.74
west wendover,US,40.74,-114.07,41.0,23,1,11.41
borogontsy,RU,62.67,131.17,24.28,95,70,8.46
bac lieu,VN,9.29,105.72,83.14,75,60,10.2
flinders,AU,-34.58,150.86,51.69,87,11,5.82
ancud,CL,-41.87,-73.82,53.6,66,75,3.36
isangel,VU,-19.55,169.27,77.31,72,100,3.0
camabatela,AO,-8.19,15.38,69.55,65,98,4.9
panjakent,TJ,39.5,67.61,57.2,100,90,6.93
mashhad,IR,36.3,59.61,53.6,100,75,6.93
abnub,EG,27.27,31.15,78.39,17,0,16.73
bambanglipuro,ID,-7.95,110.28,79.84,77,97,7.27
salisbury,GB,51.07,-1.8,69.26,40,86,10.29
fort nelson,CA,58.81,-122.7,24.8,58,20,3.36
samarai,PG,-10.62,150.67,77.9,74,82,4.68
pisco,PE,-13.7,-76.22,72.23,30,0,5.82
bure,ET,10.7,37.07,74.01,29,81,7.38
tomatlan,MX,19.93,-105.25,80.96,39,42,4.36
the valley,AI,18.22,-63.06,80.28,73,37,13.13
kaz,RU,52.91,87.31,36.73,75,32,2.13
zhezkazgan,KZ,47.8,67.71,47.5,69,19,7.4
vestmannaeyjar,IS,63.44,-20.27,41.04,79,92,18.34
novo aripuana,BR,-5.12,-60.38,89.06,60,98,1.41
bakhtiyarpur,IN,25.47,85.52,86.0,51,20,9.17
aasiaat,GL,68.71,-52.87,38.52,86,100,12.08
lanzhou,CN,36.06,103.79,52.5,20,89,4.47
imeni poliny osipenko,RU,52.42,136.49,34.74,80,19,2.95
souillac,MU,-20.52,57.52,78.89,74,40,14.99
sobolevo,RU,54.43,31.9,47.37,49,84,10.18
sao miguel do araguaia,BR,-13.28,-50.16,87.87,61,18,1.34
ust-kuyga,RU,70.02,135.6,-1.82,86,1,4.27
flin flon,CA,54.77,-101.86,10.4,72,75,11.41
westport,US,41.14,-73.36,56.52,50,1,9.17
gat,IL,31.61,34.76,63.39,63,0,9.17
nguru,NG,12.88,10.45,100.04,8,99,20.31
andenes,NO,69.31,16.12,30.45,69,75,16.11
ingham,US,42.6,-84.38,51.04,76,40,9.17
santa cruz,BO,-17.8,-63.17,85.32,45,0,13.87
warmbad,NA,-28.45,18.73,80.82,23,0,10.31
camacupa,AO,-12.02,17.48,71.76,57,97,4.79
san vicente,AR,-26.62,-54.13,78.57,25,0,3.6
mazagao,BR,-0.12,-51.29,86.0,79,75,6.93
nizhniy kuranakh,RU,58.84,125.49,28.76,91,86,5.08
nizwa,OM,22.93,57.53,88.16,17,27,9.26
raudeberg,NO,61.99,5.14,36.75,69,40,33.33
ossora,RU,59.24,163.07,11.62,93,60,4.23
bureya,RU,49.81,129.81,45.64,58,0,3.69
maua,BR,-23.67,-46.46,72.41,56,75,8.05
petropavlovsk-kamchatskiy,RU,53.05,158.65,28.4,79,75,2.24
beder,DK,56.06,10.21,55.58,54,100,21.92
rio gallegos,AR,-51.62,-69.22,51.8,57,90,16.11
clarence town,AU,-32.58,151.78,50.85,93,0,2.75
korla,CN,41.76,86.15,62.01,64,22,3.0
san-pedro,CI,4.75,-6.64,88.11,60,43,7.05
te anau,NZ,-45.42,167.72,44.55,77,100,7.0
saint-francois,FR,46.42,3.91,72.16,43,83,5.82
darnah,LY,32.77,22.64,64.98,51,4,12.01
emirdag,TR,39.02,31.15,57.34,24,0,5.86
rapid valley,US,44.06,-103.15,20.93,79,75,16.11
adre,TD,13.47,22.2,96.49,8,100,9.46
coahuayana,MX,18.73,-103.68,83.64,42,83,1.41
xai-xai,MZ,-25.05,33.64,83.89,55,0,6.67
sisophon,KH,13.59,102.97,80.31,82,93,7.65
sucua,EC,-2.47,-78.17,71.6,78,75,2.24
bogorodskoye,RU,56.55,37.88,39.51,60,48,3.62
portales,US,34.19,-103.33,50.04,40,1,29.97
san sebastian,ES,43.31,-1.98,68.54,49,71,3.36
pacific grove,US,36.62,-121.92,51.42,100,90,4.7
havoysund,NO,71.0,24.66,29.32,63,75,12.75
chalus,IR,36.66,51.42,55.4,82,40,2.24
seminole,US,28.71,-81.21,82.08,69,90,18.34
meiganga,CM,6.52,14.3,85.5,33,92,2.75
lavrentiya,RU,65.58,-171.0,22.3,98,100,4.81
lima,PE,-12.04,-77.03,75.2,73,0,8.05
ust-tsilma,RU,65.44,52.15,27.01,94,59,1.25
babstovo,RU,48.12,132.48,47.97,48,80,2.26
biak,ID,-0.91,122.88,80.33,63,6,3.47
ishigaki,JP,24.34,124.16,65.46,59,100,27.72
hoorn,NL,52.64,5.06,67.46,59,90,9.17
liuzhou,CN,24.31,109.39,57.97,56,83,7.52
taywarah,AF,33.35,64.42,46.38,34,80,2.57
batagay-alyta,RU,67.8,130.41,7.92,82,36,3.36
havre-saint-pierre,CA,50.23,-63.6,33.8,64,1,17.22
namatanai,PG,-3.67,152.43,82.4,75,97,4.18
aljezur,PT,37.32,-8.8,66.0,72,15,9.98
yanam,IN,16.73,82.22,82.54,74,0,10.87
mandurah,AU,-32.55,115.7,65.82,93,65,8.59
erzin,TR,36.96,36.2,65.34,56,20,16.11
diglur,IN,18.55,77.6,89.85,14,16,2.48
roseburg,US,43.22,-123.34,41.61,75,1,0.81
sao desiderio,BR,-12.36,-44.97,78.46,71,61,5.66
kahului,US,20.89,-156.47,67.19,83,90,4.7
port-cartier,CA,50.03,-66.87,35.6,64,75,9.17
nemuro,JP,43.32,145.57,33.57,88,0,9.19
sao joao da barra,BR,-21.64,-41.05,75.2,78,90,4.7
margate,GB,51.38,1.39,66.87,42,20,12.75
dawei,MM,14.08,98.2,79.88,69,99,1.19
hay river,CA,60.82,-115.8,8.6,71,75,2.24
komsomolskiy,UZ,40.43,71.72,64.4,59,100,4.7
along,IN,28.17,94.77,68.02,50,61,3.69
fortuna,US,40.6,-124.16,48.36,93,75,3.36
barra patuca,HN,15.8,-84.28,82.67,73,63,12.48
chiang khong,TH,20.26,100.4,75.83,83,20,5.82
gorele,TR,41.03,39.0,51.8,81,40,2.24
creston,US,41.06,-94.36,46.9,100,90,13.87
jiaojiang,CN,28.68,121.44,52.0,74,0,1.01
eureka,US,40.8,-124.16,48.87,87,40,8.19
bowen,AU,-20.02,148.23,73.78,94,75,4.7
hasaki,JP,35.73,140.83,48.42,93,75,13.87
hailey,US,43.52,-114.32,30.2,50,40,0.69
xixiang,CN,35.16,112.86,55.9,32,0,2.44
ahuimanu,US,21.44,-157.84,69.24,69,90,6.93
kadipaten,ID,-8.14,113.22,78.37,67,72,1.74
jijiga,ET,9.35,42.8,77.88,30,91,1.12
saint-gabriel,CA,46.3,-73.38,43.83,63,1,11.41
fujin,CN,47.26,132.03,49.41,48,38,5.28
kursenai,LT,55.98,22.92,53.6,46,98,10.29
mattru,SL,7.62,-11.83,96.75,41,73,4.61
luena,AO,-11.78,19.92,78.8,74,75,6.93
magistralnyy,RU,56.17,107.45,32.04,80,61,7.25
darhan,MN,49.49,105.92,40.84,50,17,11.16
cascais,PT,38.7,-9.42,68.32,72,20,16.11
gonbad-e qabus,IR,37.25,55.17,53.6,93,90,2.42
tchollire,CM,8.4,14.17,104.77,9,43,2.95
biloela,AU,-24.42,150.5,63.55,59,0,8.48
siderno,IT,38.28,16.3,65.16,68,0,6.93
agarakadzor,AM,39.73,45.35,57.2,41,75,6.93
onguday,RU,50.75,86.15,38.39,50,0,1.05
wick,GB,58.43,-3.08,43.48,69,77,23.04
bud,US,39.45,-86.18,58.08,62,90,8.05
moose factory,CA,51.26,-80.61,28.4,74,40,6.93
san,ML,13.3,-4.9,102.74,17,48,7.16
ponta delgada,PT,37.73,-25.67,62.6,82,75,12.75
tiznit,MA,29.58,-9.5,62.46,48,70,11.92
atambua,ID,-9.11,124.89,74.43,79,99,1.52
lompoc,US,34.64,-120.46,53.02,81,90,3.36
port hardy,CA,50.7,-127.42,37.4,86,40,2.68
artyshta,RU,54.12,86.29,38.41,64,0,3.98
arman,RU,59.7,150.17,17.94,96,100,3.02
inirida,CO,3.87,-67.92,87.96,65,100,2.39
luwuk,ID,-0.95,122.79,80.29,58,3,3.11
luganville,VU,-15.53,167.17,76.35,77,100,1.79
caceres,ES,39.52,-6.37,69.01,56,9,1.99
morro bay,US,35.37,-120.85,51.51,81,90,2.73
nisia floresta,BR,-6.09,-35.21,87.8,62,40,12.75
mayumba,GA,-3.43,10.66,80.49,75,100,4.56
urumqi,CN,43.8,87.6,62.6,29,13,2.24
